,"Bend Genetics, LLC",,,Customer:,Big Valley Rancheria,,,,,,
,"107 Scripps Drive, Ste. 210",,,,Analysis for Toxigenic Cyanobacteria,,,,,,
,"Sacramento, CA 95825",,,Project #:,HABS/317,,,,,,
,Tel: (916) 550-1048,,,Reported:,3/30/2023 15:00,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ANALYTICAL REPORT FOR SAMPLES,,,,,,,,,,,
Sample ID,Location,Date Collected,Date Received,Matrix,Preserved,BG_ID,,,,,
2173,OA-04,3/17/2023 9:55,3/24/2023 9:14,Water,N,BV741,,,,,
2174,CL-3,3/8/2023 11:10,3/24/2023 9:14,Water,N,BV742,,,,,
2175,RED01,3/22/2023 11:49,3/24/2023 9:14,Water,N,BV743,,,,,
2176,SHADY01,3/22/2023 11:36,3/24/2023 9:14,Water,N,BV744,,,,,
2177,KP01,3/22/2023 12:59,3/24/2023 9:14,Water,N,BV745,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Page 2 of 5,,,,
,"Bend Genetics, LLC",,,Customer:,Big Valley Rancheria,,,,,,
,"107 Scripps Drive, Ste. 210",,,,Analysis for Toxigenic Cyanobacteria,,,,,,
,"Sacramento, CA 95825",,,Project #:,HABS/317,,,,,,
,Tel: (916) 550-1048,,,Reported:,3/30/2023 15:00,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
